Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No,Invoice No,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2012-12-03,3371409,ERS INVOICE76098,400,REDACTED PERSONAL DATA,575913,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
VS - BUILDING COHESION,8180,GRANTS,2012-12-03,3371410,ERS INVOICE76099,2222.00,SHEFFIELD WOMEN'S AID,321447,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2012-12-03,3371411,ERS INVOICE76100,400,REDACTED PERSONAL DATA,575914,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2012-12-03,3371412,ERS INVOICE76101,400,REDACTED PERSONAL DATA,575915,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
WORKFORCE DEVELOPMENT,8440,FEE EXPENSES,2012-12-03,3371413,ERS INVOICE76102,4675.00,COUMES SPRING CHILDREN'S CENTRE,311854,Social Community Care,NURSERIES & CRECHES
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2012-12-03,3371414,ERS INVOICE76103,400,REDACTED PERSONAL DATA,575916,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
WORKFORCE DEVELOPMENT,8440,FEE EXPENSES,2012-12-03,3371415,ERS INVOICE76104,4075.00,LODGE MOOR NURSERY LTD,311890,Social Community Care,NURSERIES & CRECHES
CARE PROCEEDINGS (LEGAL FEES),8480,COURT COSTS,2012-12-03,3371416,ERS INVOICE76105,2225.00,CEC MORLEY,537729,Unclassified Non Trade,COURTS
VS - BUILDING COHESION,8180,GRANTS,2012-12-03,3371418,ERS INVOICE76107,2222.00,HAVEN HOUSE PROJECT,301587,Medical,COUNSELLING & ADVICE SERVICES
VS - INFRASTRUCTURE SUPPORT,8180,GRANTS,2012-12-03,3371419,ERS INVOICE76108,2222.00,REDACTED PERSONAL DATA,503588,Social Community Care,HOME CARE SERVICES
VS - INFRASTRUCTURE SUPPORT,8180,GRANTS,2012-12-03,3371420,ERS INVOICE76109,1667.00,BUSINESS IN THE COMMUNITY,304358,Human Resources,BUSINESS & TRADE ORGANISATIONS
VS - INFRASTRUCTURE SUPPORT,8180,GRANTS,2012-12-03,3371421,ERS INVOICE76110,2222.00,YOUTH ASSOCIATION SOUTH YORKSHIRE,313174,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
GENERAL COMM AREAS - INC AREA,8560,HOUSING AREA CONSULT ALLOWANCE,2012-12-03,3371466,ERS INVOICE76155,450,BURNGREAVE  TENNANTS AND RESIDENTS,563129,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
COMMUNITY ASSEMBLY CENTRAL,9120,OTHER AGENCIES,2012-12-03,3371483,ERS INVOICE76172,770,THE BROOMHALL CENTRE,340228,Unclassified Non Trade,COMMUNITY CENTRES
OUTDOOR EDUCATION,8440,FEE EXPENSES,2012-12-03,3371513,ERS INVOICE76202,500,PETER D MORTON,517818,Leisure Services,OUTDOOR PURSUIT ORGANISERS & E
BRADFORD - WY SUB REGION HAL,1194,OTHER FEES,2012-12-03,3371515,ERS INVOICE76204,407,WAKE SMITH & TOFIELDS SOLICITORS,209393,Legal Services,SOLICITORS
CARE PROCEEDINGS (LEGAL FEES),8480,COURT COSTS,2012-12-03,3371518,ERS INVOICE76207,2225.00,CEC MORLEY,537729,Unclassified Non Trade,COURTS
EQUIPMENT,9160,PARTNERSHIP CONTRACTS,2012-12-03,3371634,ERS INVOICE76208,68963.00,SHEFFIELD PRIMARY CARE TRUST,504799,Unclassified Non Trade,HEALTH AUTHORITIES
VSP DELIVER,9120,OTHER AGENCIES,2012-12-03,3371635,ERS INVOICE76211,2413.00,WHIRLOW HALL FARM TRUST LTD,318019,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VSP DELIVER,9120,OTHER AGENCIES,2012-12-03,3371636,ERS INVOICE76212,12350.75,DIMENSIONS TRAINING SOLUTIONS,433070,Education,HAIRDRESSING SCHOOLS
VSP DELIVER,9120,OTHER AGENCIES,2012-12-03,3371637,ERS INVOICE76213,1036.80,ROTHERHAM COLLEGE OF ARTS & TECHNOLOGY,301110,Unclassified Non Trade,SCHOOLS & COLLEGES - FURTHER E
VSP DELIVER,9120,OTHER AGENCIES,2012-12-03,3371638,ERS INVOICE76214,2838.84,SHEFFIELD COLLEGE,394141,Unclassified Non Trade,SCHOOLS & COLLEGES - FURTHER E
VSP DELIVER,9120,OTHER AGENCIES,2012-12-03,3371639,ERS INVOICE76215,3125.31,THE SHEFFIELD COLLEGE,297611,Unclassified Non Trade,SCHOOLS & COLLEGES - FURTHER E
VSP DELIVER,9120,OTHER AGENCIES,2012-12-03,3371640,ERS INVOICE76217,9774.00,WHITE ROSE SCHOOLS LTD,334662,Education,BEAUTY SCHOOLS
VSP DELIVER,9120,OTHER AGENCIES,2012-12-03,3371641,ERS INVOICE76218,3937.50,THE SOURCE AT MEADOWHALL,350485,Human Resources,TRAINING CENTRES
VSP DELIVER,9120,OTHER AGENCIES,2012-12-03,3371642,ERS INVOICE76219,635,WHIRLOW HALL FARM TRUST LTD,318019,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VSP DELIVER,9140,PRIVATE CONTRACTORS,2012-12-03,3371684,ERS INVOICE76261,2365.38,A4E LTD,326975,Consultancy,BUSINESS & MANAGEMENT CONSULTA
VSP DELIVER,9140,PRIVATE CONTRACTORS,2012-12-03,3371685,ERS INVOICE76263,5250.00,SOUTH YORKSHIRE & HALLAMSHIRE CYP,431967,Unclassified Non Trade,YOUTH ORGANISATIONS & CENTRES
VSP DELIVER,9140,PRIVATE CONTRACTORS,2012-12-03,3371686,ERS INVOICE76264,1841.50,SHEFFIELD INDUSTRIAL MUSEUMS TRUST LTD,307272,Leisure Services,MUSEUMS
VSP DELIVER,9140,PRIVATE CONTRACTORS,2012-12-03,3371687,ERS INVOICE76265,444.5,ENDEAVOUR TRAINING,347945,Human Resources,TRAINING SERVICES
VSP DELIVER,9140,PRIVATE CONTRACTORS,2012-12-03,3371689,ERS INVOICE76267,3111.50,HEELEY CITY FARM,301277,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VSP DELIVER,9140,PRIVATE CONTRACTORS,2012-12-03,3371690,ERS INVOICE76268,1873.25,NACRO,297575,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VSP DELIVER,9140,PRIVATE CONTRACTORS,2012-12-03,3371691,ERS INVOICE76270,2317.75,HEELEY DEVELOPMENT TRUST,363241,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VSP DELIVER,9140,PRIVATE CONTRACTORS,2012-12-03,3371692,ERS INVOICE76271,2188.32,THE SHEFFIELD COLLEGE,297611,Unclassified Non Trade,SCHOOLS & COLLEGES - FURTHER E
VSP DELIVER,9140,PRIVATE CONTRACTORS,2012-12-03,3371693,ERS INVOICE76274,7968.75,SHEFFIELD COLLEGE,301274,Unclassified Non Trade,SCHOOLS & COLLEGES - FURTHER E
VSP DELIVER,9140,PRIVATE CONTRACTORS,2012-12-03,3371694,ERS INVOICE76275,2250.00,SHEFFIELD COLLEGE,429307,Unclassified Non Trade,SCHOOLS & COLLEGES - FURTHER E
VSP DELIVER,9140,PRIVATE CONTRACTORS,2012-12-03,3371695,ERS INVOICE76276,750,THE SHEFFIELD COLLEGE,297611,Unclassified Non Trade,SCHOOLS & COLLEGES - FURTHER E
VSP DELIVER,9140,PRIVATE CONTRACTORS,2012-12-03,3371696,ERS INVOICE76277,1781.25,THE SHARKS,540033,Leisure Services,SPORTS CLUBS & ASSOCIATIONS
VSP DELIVER,9140,PRIVATE CONTRACTORS,2012-12-03,3371697,ERS INVOICE76278,1312.50,MANOR AND CASTLE DEVELOPMENT TRUST,486881,Unclassified Non Trade,YOUTH ORGANISATIONS & CENTRES
VSP DELIVER,9140,PRIVATE CONTRACTORS,2012-12-03,3371699,ERS INVOICE76280,2234.38,HEELEY DEVELOPMENT TRUST,363241,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VSP DELIVER,9140,PRIVATE CONTRACTORS,2012-12-03,3371700,ERS INVOICE76281,6429.38,SPRINT TRAINING LTD,375572,Human Resources,TRAINING SERVICES
PRIVATE LANDLORD SCHEME,9120,OTHER AGENCIES,2012-12-03,3371701,ERS INVOICE76284,395,PRINTWYSE,526548,Unclassified Trade,EMBROIDERERS
PRIVATE LANDLORD SCHEME,9120,OTHER AGENCIES,2012-12-03,3371702,ERS INVOICE76285,459,S TENNANT,572633,Unclassified Trade,LETTING AGENTS
ASYLUM SEEKER CONTRACT,6030,REPAIRS TO TENANTED PROPERTIES,2012-12-03,3345361,SCC0006,340,R84D LTD T/A GARDEN SERVICES SHEFFIELD,568843,Construction,GARDENING SERVICES
CAPABILITY & DEVELOPMENT,5750,TRAINING EXPENDITURE,2012-12-03,3345473,OMI04579,49300.00,SHEFFIELD BUSINESS SCHOOL,573400,Unclassified Non Trade,COLLEGES - HIGHER EDUCATION
REGISTRATION & REGULATION,8270,SUBSCRIPTIONS,2012-12-03,3353996,340822,376.29,CITY CAR CLUB (UK) LTD,465053,Vehicles Not Buses,CAR RENTAL
ASYLUM SEEKER CONTRACT,8050,FURNITURE PURCHASES,2012-12-03,3355894,15244,1891.00,PYRAMID CARPETS,243612,Building Construction Materials,CARPETS & RUGS - RETAIL
ASYLUM SEEKER CONTRACT,8050,FURNITURE PURCHASES,2012-12-03,3355895,15243,859,PYRAMID CARPETS,243612,Building Construction Materials,CARPETS & RUGS - RETAIL
PORTFOLIO LEADERSHIP,8370,PRINTING,2012-12-03,3356313,SINV00238938,657.68,R A ROBERTS (OFFICE EQUIPMENT) LTD,207777,Furniture,OFFICE FURNITURE & EQUIPMENT
REGISTRATION & REGULATION,8270,SUBSCRIPTIONS,2012-12-03,3359272,372658,521.98,CITY CAR CLUB (UK) LTD,465053,Vehicles Not Buses,CAR RENTAL
BANKWOOD CHILDRENS CENTRE,8620,COMPUTER & HARDWARE PURCHASES,2012-12-03,3360183,130279,8775.44,CAPITA BUSINESS SERVICES LTD,505663,Human Resources,BUSINESS INFORMATION SERVICES
ADULT SOCIAL CARE PURCHASING,9160,PARTNERSHIP CONTRACTS,2012-12-03,3360732,AWLC/018/Q3,3842.68,AGEWELL & LUNCH CLUBS IN SHEFFIELD,301577,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
WASTE CLIENT,9380,COLLN OF WHEELED AND BULK BINS,2012-12-03,3361703,5509165/EAS/850,2419.00,NETWORK RAIL,319835,Facilities Management,RAILWAYS
WASTE CLIENT,9380,COLLN OF WHEELED AND BULK BINS,2012-12-03,3361705,5509165/SPA/1549370,2419.00,NETWORK RAIL,319835,Facilities Management,RAILWAYS
WASTE CLIENT,9380,COLLN OF WHEELED AND BULK BINS,2012-12-03,3361707,5509165/SPA/1506321,3576.50,NETWORK RAIL,319835,Facilities Management,RAILWAYS
HARD FM,6030,REPAIRS AND MTCE - RESPONSIVE,2012-12-03,3361836,HX52190,489,HYDRO-X WATER TREATMENT LIMITED,432622,Environmental Services,WATER TREATMENT EQUIPMENT & SE
ADULT SOCIAL CARE PURCHASING,9180,OTHER CLIENT EXPENDITURE,2012-12-03,3364740,105142,691.24,REDACTED PERSONAL DATA,570219,Social Community Care,HOME CARE SERVICES
ADULT SOCIAL CARE PURCHASING,9180,OTHER CLIENT EXPENDITURE,2012-12-03,3364741,105143,393.8,REDACTED PERSONAL DATA,570219,Social Community Care,HOME CARE SERVICES
ADULT SOCIAL CARE PURCHASING,9180,OTHER CLIENT EXPENDITURE,2012-12-03,3364742,105144,268.4,REDACTED PERSONAL DATA,570219,Social Community Care,HOME CARE SERVICES
PFI 4,8350,MISCELLANEOUS EXPENSES,2012-12-03,3365605,132,1421.70,PARADIGM (SHEFFIELD BSF) LIMITED,472691,Facilities Management,FACILITIES MANAGEMENT
SCR GRANT - SUPPORT TO PLAN,8460,CONSULTANTS FEES,2012-12-03,3366036,104,4985.00,ITS MY LIFE LTD,558028,Social Community Care,HOME HELP SERVICES - PRIVATE
HURLFIELD,8060,MATERIALS AND SUPPLIES GENERAL,2012-12-03,3366145,255896749,261.38,YORKSHIRE PURCHASING ORGANISATION,295997,Unclassified Trade,PURCHASING SERVICES
PROVIDER CONTRACT AUG11-JUL12,9120,OTHER AGENCIES,2012-12-03,3366156,10684,1750.00,YEMENI COMMUNITY ASSOCIATION,303949,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PROVIDER CONTRACT AUG11-JUL12,9120,OTHER AGENCIES,2012-12-03,3366157,10685,522,YEMENI COMMUNITY ASSOCIATION,303949,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
MANAGEMENT REVIEWS,8440,FEE EXPENSES,2012-12-03,3366165,ASSL/12/32,11000.00,ACADEMY SERVICES (SHEFFIELD) LTD,438883,Financial Services,LEASING SERVICES
AFFORDABLE HOUSING,8440,FEE EXPENSES,2012-12-03,3366217,2.5E+13,2471.00,VALUATION OFFICE AGENCY,511469,Unclassified Non Trade,CENTRAL GOVERNMENT
INDEPENDENT PLACEMENTS,9310,EDUCATIONAL OR JOINT PLACEMENT,2012-12-03,3367048,21885,7530.90,PACES SHEFFIELD LIMITED,295794,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT PLACEMENTS,9310,EDUCATIONAL OR JOINT PLACEMENT,2012-12-03,3367049,22251,7530.90,PACES SHEFFIELD LIMITED,295794,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT PLACEMENTS,9310,EDUCATIONAL OR JOINT PLACEMENT,2012-12-03,3367050,22616,7530.90,PACES SHEFFIELD LIMITED,295794,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT PLACEMENTS,9310,EDUCATIONAL OR JOINT PLACEMENT,2012-12-03,3367051,23346,6024.72,PACES SHEFFIELD LIMITED,295794,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT PLACEMENTS,9310,EDUCATIONAL OR JOINT PLACEMENT,2012-12-03,3367057,22981,3765.45,PACES SHEFFIELD LIMITED,295794,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT PLACEMENTS,9310,EDUCATIONAL OR JOINT PLACEMENT,2012-12-03,3367058,23712,6024.72,PACES SHEFFIELD LIMITED,295794,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT PLACEMENTS,9310,PARENTAL OR TRIBUNAL PLACEMENT,2012-12-03,3367059,24077,4518.54,PACES SHEFFIELD LIMITED,295794,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT PLACEMENTS,9310,PARENTAL OR TRIBUNAL PLACEMENT,2012-12-03,3367060,24442,7530.90,PACES SHEFFIELD LIMITED,295794,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT PLACEMENTS,9310,EDUCATIONAL OR JOINT PLACEMENT,2012-12-03,3367061,24807,7530.90,PACES SHEFFIELD LIMITED,295794,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT PLACEMENTS,9310,EDUCATIONAL OR JOINT PLACEMENT,2012-12-03,3367062,25173,6024.72,PACES SHEFFIELD LIMITED,295794,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT PLACEMENTS,9310,PARENTAL OR TRIBUNAL PLACEMENT,2012-12-03,3367063,25538,7530.90,PACES SHEFFIELD LIMITED,295794,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT PLACEMENTS,9310,EDUCATIONAL OR JOINT PLACEMENT,2012-12-03,3367064,25903,1506.18,PACES SHEFFIELD LIMITED,295794,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT PLACEMENTS,9310,EDUCATIONAL OR JOINT PLACEMENT,2012-12-03,3367065,26268,7530.90,PACES SHEFFIELD LIMITED,295794,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT PLACEMENTS,9310,PARENTAL OR TRIBUNAL PLACEMENT,2012-12-03,3367066,26634,7833.00,PACES SHEFFIELD LIMITED,295794,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9180,OTHER CLIENT EXPENDITURE,2012-12-03,3367085,105227,401.2,REDACTED PERSONAL DATA,570219,Social Community Care,HOME CARE SERVICES
ADULT SOCIAL CARE PURCHASING,9180,OTHER CLIENT EXPENDITURE,2012-12-03,3367088,105228,402.6,REDACTED PERSONAL DATA,570219,Social Community Care,HOME CARE SERVICES
ADULT SOCIAL CARE PURCHASING,9180,OTHER CLIENT EXPENDITURE,2012-12-03,3367090,105230,557.04,REDACTED PERSONAL DATA,570219,Social Community Care,HOME CARE SERVICES
ADULT SOCIAL CARE PURCHASING,9180,OTHER CLIENT EXPENDITURE,2012-12-03,3367096,105233,277.09,REDACTED PERSONAL DATA,570219,Social Community Care,HOME CARE SERVICES
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2012-12-03,3367162,841456,600,MRS K E HAYES,472119,Legal Services,BARRISTERS
BURGLAR ALARMS,6030,REPAIRS TO TENANTED PROPERTIES,2012-12-03,3367591,SSH/CAPPROG/RESP/182/12,4710.04,TELSTAR SECURITY,299814,Facilities Management,SECURITY EQUIPMENT
ECCLESFIELD SUPPORT UNIT,4150,HIRE & LETTINGS FEES,2012-12-03,3367710,23263,740,W GORDON & SONS,568447,Transport,COACH HIRE
OTHER REPAIRS & FEES,6030,BURGLAR ALARM REPAIRS,2012-12-03,3367723,ISG/SERV/037/12,15624.60,TELSTAR SECURITY,299814,Facilities Management,SECURITY EQUIPMENT
OTHER REPAIRS & FEES,6030,BURGLAR ALARM REPAIRS,2012-12-03,3367724,ISG/SERV/038/12,1967.07,TELSTAR SECURITY,299814,Facilities Management,SECURITY EQUIPMENT
ROAD SAFETY E.T.P. (LTP),8350,MISCELLANEOUS EXPENSES,2012-12-03,3367730,2423,3520.00,RED ZULU LTD,532490,Clothing,SAFETY EQUIPMENT & CLOTHING
LAND DRAINAGE & FLOOD MGMT,8440,FEE EXPENSES,2012-12-03,3367856,4744,1000.00,ENVIRONMENTAL DRAINAGE SOLUTIONS LTD,373384,Environmental Services,DRAINAGE CONTRACTORS
ADULT SOCIAL CARE PURCHASING,9160,PARTNERSHIP CONTRACTS,2012-12-03,3367867,INV60,11480.27,DARNALL DEMENTIA GROUP,299898,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PURCHASING,9170,ASYLUM & IMMIGRATION,2012-12-03,3367872,3009926,17818.83,METROPOLITAN SUPPORT TRUST LTD,492530,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
HOUSING BENEFIT ADMIN,8470,LEGAL FEES,2012-12-03,3367916,138021,700,MR ROBERT SANDFORD,575156,Medical,DOCTORS
REGISTRATION & REGULATION,8440,FEE EXPENSES,2012-12-03,3367917,137610,3575.00,MR ROBERT SANDFORD,575156,Medical,DOCTORS
DEVELOPMENT CONTROL,8470,LEGAL FEES,2012-12-03,3367919,325513,1000.00,KINGS CHAMBERS,557414,Legal Services,BARRISTERS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2012-12-03,3367920,808354,600,MR A J LORD,486218,Legal Services,BARRISTERS
LIBRARY THEATRE,8130,CATERING SUPPLIES,2012-12-03,3368098,100201,327.97,AVENEX LTD T/A LAST ORDERS,574709,Catering,WINES SPIRITS & BEER - WHOLESA
WORKPLACE MANAGEMENT STAFFING,5750,TRAINING EXPENDITURE,2012-12-03,3368171,18038902-005,2250.00,SHEFFIELD HALLAM UNIVERSITY,449854,Unclassified Non Trade,UNIVERSITIES & MEDICAL SCHOOLS
SSCB,5750,TRAINING EXPENDITURE,2012-12-03,3368186,42306,275,GOVNET COMMUNICATIONS,380445,Education,PUBLISHERS
SPORTS EVENTS ADMIN,8550,OTHER SERVICES,2012-12-03,3368545,520685,377.08,PICKFORDS,573763,Transport,REMOVALS - OVERSEAS
RESIDENTIAL STRATEGY COSTS,8350,MISCELLANEOUS EXPENSES,2012-12-03,3368656,23320044,2714.48,ROBINS & DAY SHEFFIELD,203917,Vehicles Not Buses,CAR DEALERS
YOUTH JUSTICE SERVICE,6210,RENTS,2012-12-03,3368659,6732,289000.00,SHEFFIELD FUTURES,322702,Medical,COUNSELLING & ADVICE SERVICES
HR TRANSACTIONS,8100,RECHARGEABLE PURCHASES,2012-12-03,3368716,10091,1131.62,SHEFFIELD NEWSPAPERS LTD,208391,Education,NEWSPAPER & MAGAZINE PUBLISHER
CASTLE MARKET,6090,WASTE DISPOSAL,2012-12-03,3368729,213,600,R L DEAR (WASTE MERCHANTS) LTD,360135,Environmental Services,WASTE MERCHANTS
CITY WIDE CARE ALARMS,8010,EQUIPMENT PURCHASE AND REPAIR,2012-12-03,3368844,3IN/10211534,1873.50,TUNSTALL HEALTHCARE (UK) LIMITED,209178,ICT,TELECOMMUNICATIONS EQUIPMENT &
DISTRICT HEATING GENERAL,6170,COMBINED HEAT AND POWER,2012-12-03,3369009,INVA006520,697,ENER-G SWITCH2 LTD,546534,Unclassified Non Trade,INSTRUMENTATION ENGINEERS
CRYSTAL PEAKS,7160,CAR PARKING SPACES AND FEES,2012-12-03,3369014,58,825,DAMONS (DEVELOPMENTS) LTD,434322,Catering,RESTAURANTS - OTHER
LOCALITY 1 MANAGEMENT+O/HEADS,8060,MATERIALS AND SUPPLIES GENERAL,2012-12-03,3369357,918093689,285.6,ARCO LTD,203022,Clothing,SAFETY EQUIPMENT & CLOTHING
VACANTS,8420,ADVERTISING AND PUBLICITY,2012-12-03,3369379,57835875,1685.04,AD MAG,297595,Education,NEWSPAPER & MAGAZINE PUBLISHER
ASSET MANAGEMENT,8440,FEE EXPENSES,2012-12-03,3369384,INV117134,865.2,NATIONAL ENERGY SERVICES LIMITED,298519,Consultancy,ENERGY CONSERVATION CONSULTANT
CRYSTAL PEAKS,6030,REPAIRS AND MTCE - RESPONSIVE,2012-12-03,3369474,20051767,585,COLT SERVICE LTD,203993,Building Construction Materials,VENTILATORS & VENTILATION SYST
ADULT SOCIAL CARE PURCHASING,9180,OTHER CLIENT EXPENDITURE,2012-12-03,3369483,105041,279.95,REDACTED PERSONAL DATA,570219,Social Community Care,HOME CARE SERVICES
KENNELLING,8010,EQUIPMENT PURCHASE AND REPAIR,2012-12-03,3369498,12248,2191.40,HOPEWELLS PET & ANIMAL FEEDS LTD,552250,Unclassified Trade,PET FOODS & ANIMAL FEEDS
DISADVANTAGED AREA FUNDING,9120,OTHER AGENCIES,2012-12-03,3369532,2085,1000.00,MANOR & CASTLE DEVELOPMENT TRUST,314473,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
DISADVANTAGED AREA FUNDING,9120,OTHER AGENCIES,2012-12-03,3369533,2086,1000.00,MANOR & CASTLE DEVELOPMENT TRUST,314473,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
DISADVANTAGED AREA FUNDING,9120,OTHER AGENCIES,2012-12-03,3369542,2084,1000.00,MANOR & CASTLE DEVELOPMENT TRUST,314473,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
SANCTUARY SCHEME,8060,MATERIALS AND SUPPLIES GENERAL,2012-12-03,3369563,71123,750,SENTRY DOORS LTD.,208307,Building Construction Materials,DOOR MANUFACTURERS - INDUSTRIA
LOCALITY 1 MANAGEMENT+O/HEADS,8540,SECURITY SERVICES,2012-12-03,3369570,127377,655,H HARROLD & SONS LTD,205285,Facilities Management,LOCK SMITHS
COMMUNITY YOUTH TEAMS,8440,FEE EXPENSES,2012-12-03,3369593,7700,440,MANOR DEVELOPMENT COMPANY LIMITED,420262,Unclassified Trade,OFFICE RENTAL
CLC MANAGEMENT,8460,CONSULTANTS FEES,2012-12-03,3369595,19627,1260.00,ICTPROSPECTS LIMITED,558621,Human Resources,COMPUTER TRAINING
CLC MANAGEMENT,8460,CONSULTANTS FEES,2012-12-03,3369597,19629,540,ICTPROSPECTS LIMITED,558621,Human Resources,COMPUTER TRAINING
CASTLE MARKET,8420,ADVERTISING AND PUBLICITY,2012-12-03,3370694,1956,295,SPECIALIST MEDIA GROUP,575388,Education,PUBLISHERS' SERVICES
HIST,9630,BASE PRICE,2012-12-03,3370696,976243,485000.00,CHIEF EXECUTIVE DIRECTORATE (HOMES),402954,Unclassified Non Trade,LOCAL GOVERNMENT
ICT INFRASTRUCTURE,1197,DIRECT EMPLOYEES FEES,2012-12-03,3370697,5381939,4950.00,MICHAEL PAGE UK LIMITED,347153,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
CRYSTAL PEAKS,8020,EQUIPMENT LEASE/ RENTAL/ HIRE,2012-12-03,3370707,DL626714,387.5,TYCO FIRE & INTEGRATED SOLUTIONS (UK)LTD,209607,Facilities Management,FIRE ALARM SYSTEMS
GRNI NO LIABILITY VAL / OHEAD,8060,MATERIALS AND SUPPLIES GENERAL,2012-12-03,3370725,INV106145,1350.00,BROXAP LTD,203555,Unclassified Trade,METAL PRODUCTS - FABRICATED
GRNI NO LIABILITY VAL / OHEAD,8060,MATERIALS AND SUPPLIES GENERAL,2012-12-03,3370726,1208/07733,824,HATHER PLANT HIRE LIMITED,493155,Vehicles Not Buses,PLANT & MACHINERY HIRE & LEASI
GRNI NO LIABILITY VAL / OHEAD,8060,MATERIALS AND SUPPLIES GENERAL,2012-12-03,3370738,2850050547,3740.00,VEOLIA ES (UK) LIMITED,341639,Environmental Services,WASTE DISPOSAL SERVICES
COM.UNITY,8440,FEE EXPENSES,2012-12-03,3370742,18,480,STUDIO 54,557731,Leisure Services,SPORTS COACHING & INSTRUCTION
SNIPS,8180,GRANTS,2012-12-03,3370743,12/1086,554.4,COUMES SPRING CHILDREN'S CENTRE,311854,Social Community Care,NURSERIES & CRECHES
OTHER REPAIRS & FEES,6030,PLAYGROUND REPAIRS,2012-12-03,3370777,5/709/25LM/40813,550,SHEFFIELD WILDLIFE TRUST,270716,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
SHELTERED HOUSING GENERAL,8010,EQUIPMENT PURCHASE AND REPAIR,2012-12-03,3370788,13998,990,PYRAMID CARPETS,243612,Building Construction Materials,CARPETS & RUGS - RETAIL
SHELTERED HOUSING GENERAL,8010,EQUIPMENT PURCHASE AND REPAIR,2012-12-03,3370790,13965,3397.19,PYRAMID CARPETS,243612,Building Construction Materials,CARPETS & RUGS - RETAIL
GRNI NO LIABILITY NOT OHEAD,8060,MATERIALS AND SUPPLIES GENERAL,2012-12-03,3370800,YD20149184,450.82,NORTHERN POWERGRID,349525,Utilities,ELECTRICITY COMPANIES
GRNI NO LIABILITY NOT OHEAD,8060,MATERIALS AND SUPPLIES GENERAL,2012-12-03,3370802,YD20147356,328.92,NORTHERN POWERGRID,349525,Utilities,ELECTRICITY COMPANIES
GRNI NO LIABILITY NOT OHEAD,8060,MATERIALS AND SUPPLIES GENERAL,2012-12-03,3370803,YD20149185,2112.04,NORTHERN POWERGRID,349525,Utilities,ELECTRICITY COMPANIES
GRNI NO LIABILITY NOT OHEAD,8060,MATERIALS AND SUPPLIES GENERAL,2012-12-03,3370804,YD20153821,347.28,NORTHERN POWERGRID (YORKSHIRE) PLC,513232,Utilities,ELECTRICITY COMPANIES
GRNI NO LIABILITY NOT OHEAD,8060,MATERIALS AND SUPPLIES GENERAL,2012-12-03,3370806,15868,1477.26,BDS (YORKSHIRE) LTD,515858,Construction,ASPHALT & COATED MACADAM LAYIN
