Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-01,5100840076,91844.33,University Hospital of South Mcr
Manchester City Council,Regeneration Finance,Professional fees,2016-02-01,5100837835,57061.00,Salford City Council
Manchester City Council,Regeneration Finance,Professional fees,2016-02-01,5100839319,30000.00,The Carbon and Energy Fund Ltd
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-01,5100840076,20429.08,University Hospital of South Mcr
Manchester City Council,Hospitality + Trading Services,Security,2016-02-01,5100840100,1443.04,Chubb Systems Ltd
Manchester City Council,Chief Executives,Building Works,2016-02-01,5100840198,1015.31,SRM Schoberer Rad Messtechnik GmbH
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973187,817.23,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973163,693.91,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973182,649.33,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-01,1904973128,646.40,Ecomix Concrete Ltd
Manchester City Council,Manchester Leisure,Compensation Payments,2016-02-01,1904962748,630.00,Thompsons Solicitors
Manchester City Council,Manchester Leisure,Compensation Payments,2016-02-01,1904927917,627.00,Department For Work & Pensions
Manchester City Council,Adult Social Care,Furniture,2016-02-01,5100830341,567.78,Zero Six
Manchester City Council,Chief Executives,Compensation Payments,2016-02-01,1904964863,500.00,Redacted Personal Information
Manchester City Council,Chief Executives,External repairs and maintenance for buildings,2016-02-01,5100840120,1618.00,VP Bastion Ltd
Manchester City Council,Adult Social Care,Furniture,2016-02-29,5100842022,836.68,The Furnishing Service Ltd
Manchester City Council,Chief Executives,Funeral and coroner related services,2016-02-29,5100845367,836.00,Johnston Brothers Funeral Service
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,2016-02-29,5100843985,830.00,Groundwork Landscapes Ltd
Manchester City Council,Manchester Leisure,Professional fees,2016-02-29,5100844131,824.40,Sts Touring Productions Ltd
Manchester City Council,Manchester Leisure,Library Materials Acquisition,2016-02-29,1905012559,819.56,Askews and Holts
Manchester City Council,Environment and Operations,Building Materials for direct delivery,2016-02-29,5100841655,800.00,Redgate Holdings Ltd
Manchester City Council,Chief Executives,Printing,2016-02-29,5100844335,799.00,Tangent Print service
Manchester City Council,Hospitality + Trading Services,Refuse Collection,2016-02-29,5100843936,798.00,Alliance Disposables Ltd
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-29,5100845220,791.09,Parkway Green Housing Trust
Manchester City Council,Adult Social Care,Furniture,2016-02-29,5100844512,776.00,Arc Locksmiths
Manchester City Council,Environment and Operations,Construction Works,2016-02-29,5100845402,775.00,Urban Green Space Limited
Manchester City Council,Adult Social Care,Personal needs of client,2016-02-29,5100845145,770.00,NRS Healthcare
Manchester City Council,Regeneration Finance,Furniture,2016-02-29,5100845022,769.24,Nisbets
Manchester City Council,Manchester Leisure,Library Materials Acquisition,2016-02-29,1905012602,763.44,Ulverscroft Large Print Books Ltd
Manchester City Council,Environment and Operations,Construction Works,2016-02-29,5100843602,760.08,GMCA
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-29,5100843997,759.50,Search Consultancy Ltd
Manchester City Council,Manchester Leisure,Library Materials Acquisition,2016-02-29,1905012580,759.40,Askews and Holts
Manchester City Council,Hospitality + Trading Services,I T Provision,2016-02-29,5100843145,757.14,XMA Limited
Manchester City Council,Hospitality + Trading Services,Agency staff provision,2016-02-29,5100843997,750.38,Search Consultancy Ltd
Manchester City Council,Chief Executives,Hire of Equipment,2016-02-29,5100845240,750.00,Universal Live
Manchester City Council,Manchester Leisure,Library Materials Acquisition,2016-02-29,1905003483,748.01,Peters Bookselling Services
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,2016-02-29,5100844870,747.00,Transport for Greater Manchester
Manchester City Council,Environment and Operations,Advertising,2016-02-29,5100845188,745.00,Contact Photographic Services Ltd
Manchester City Council,Corporate Services,Training and Development,2016-02-29,5100845551,740.00,Institute of Internal Auditors
Manchester City Council,Adult Social Care,Personal needs of client,2016-02-29,1905007707,726.24,Barnardos Manchester Leaving Care S
Manchester City Council,Chief Executives,Examination Fees,2016-02-29,5100845295,722.88,Central Manchester University Hosp
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-29,5100844179,722.82,Morgan Hunt Public Sector Ltd
Manchester City Council,Childrens Services,Building Works,2016-02-29,5100843368,713.59,Capita IT Services (BSF) Limited
Manchester City Council,Chief Executives,Hire of Equipment,2016-02-29,5100845241,710.00,Universal Live
Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,2016-02-29,5100841466,708.00,Quaker Trading Ltd
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-29,5100844985,707.19,North West Community Services Ltd
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-29,1905001050,707.16,Wirral Community NHS Trust
Manchester City Council,Adult Social Care,Personal needs of client,2016-02-29,5100844692,699.30,NRS Healthcare
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2016-02-29,5100841572,699.00,N-Gage Project
Manchester City Council,Corporate Services,Grant and subscriptions awarded,2016-02-29,5100845441,699.00,Hbinfo Ltd
Manchester City Council,Adult Social Care,I T Provision,2016-02-29,5100842852,698.31,Computacenter (UK) Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-29,5100843099,696.72,Greater Manchester Youth
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-29,5100843099,696.72,Greater Manchester Youth
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-29,5100843099,696.72,Greater Manchester Youth
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-29,5100843099,696.72,Greater Manchester Youth
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-29,5100843099,696.71,Greater Manchester Youth
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,2016-02-29,5100845503,696.38,Littlehampton Book Services Ltd
Manchester City Council,Adult Social Care,Childrens Allowances,2016-02-29,1905003571,694.80,Barnardos Manchester Leaving Care S
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-29,5100844405,694.07,Salvation Army Housing Association
Manchester City Council,Adult Social Care,Personal needs of client,2016-02-29,5100844811,690.40,Drive Medical Limited
Manchester City Council,Chief Executives,Hire of Equipment,2016-02-29,5100845298,687.00,Universal Live
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-29,5100844265,684.56,William Smith Sons (Barnard Castle)
Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,2016-02-29,5100845123,680.00,F T Factors
Manchester City Council,Manchester Leisure,Equipment,2016-02-29,5100843870,679.00,Landscape Supply Company
Manchester City Council,Housing General Fund,Council Dwellings - Demolition,2016-02-29,5100844478,678.63,Northwards Housing Limited
Manchester City Council,Manchester Leisure,Rents,2016-02-29,5100842440,675.00,Didsbury Northern Fitness
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2016-02-29,5100844646,675.00,Sow the City
Manchester City Council,Environment and Operations,Equipment,2016-02-29,5100845477,666.66,Screwfix Direct T/A Trade UK
Manchester City Council,Regeneration Finance,Subsistence and Conference Expenses,2016-02-29,5100845468,666.00,Learning and Work Institute
Manchester City Council,Chief Executives,Hire of Equipment,2016-02-29,5100845334,661.00,Universal Live
Manchester City Council,Regeneration Finance,Removal and Storage of Furniture,2016-02-29,5100845252,660.68,Master Moves Ltd
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2016-02-29,5100845409,660.00,Turner & Townsend Project
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-29,1905011526,646.40,Ecomix Concrete Ltd
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,2016-02-29,5100844842,646.00,Transport for Greater Manchester
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,2016-02-29,5100844873,646.00,Transport for Greater Manchester
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,2016-02-29,5100844873,646.00,Transport for Greater Manchester
Manchester City Council,Chief Executives,Catering,2016-02-29,5100845239,645.00,Manchester Central
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-29,5100845099,643.53,Addiction Dependency Solutions
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-29,5100844453,642.67,Northwards Housing Limited
Manchester City Council,Manchester Leisure,Library Materials Acquisition,2016-02-29,1905012563,640.79,Askews and Holts
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-29,5100844145,639.89,HR GO Recruitment Healthcare
Manchester City Council,Chief Executives,I T Provision,2016-02-29,5100844528,628.25,Stone Computers Ltd
Manchester City Council,Manchester Leisure,Library Materials Acquisition,2016-02-29,1905003489,619.07,Askews and Holts
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-29,1905001048,618.23,Wirral Community NHS Trust
Manchester City Council,Chief Executives,Payments to Sub-Contractors,2016-02-29,5100844529,617.00,UKfast.net Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-29,1905010571,614.08,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Security,2016-02-29,5100845359,600.00,Egan Reid Stationery Co Ltd
Manchester City Council,Manchester Leisure,Equipment,2016-02-29,5100845497,600.00,Modern Designers
Manchester City Council,Adult Social Care,Furniture,2016-02-29,5100841998,598.38,The Furnishing Service Ltd
Manchester City Council,Adult Social Care,Furniture,2016-02-29,5100841908,595.60,The Furnishing Service Ltd
Manchester City Council,Adult Social Care,Personal needs of client,2016-02-29,5100844862,594.15,JCM Seating Solutions Ltd
Manchester City Council,Chief Executives,Advertising,2016-02-29,1905010545,591.74,Facebook (CARD ONLY)
Manchester City Council,Manchester Leisure,Library Materials Acquisition,2016-02-29,1905003470,590.95,Askews and Holts
Manchester City Council,Chief Executives,Printing,2016-02-29,5100844854,590.00,Browns CTP Ltd
Manchester City Council,Manchester Leisure,Library Materials Acquisition,2016-02-29,1905012575,587.25,Askews and Holts
Manchester City Council,Chief Executives,Advertising,2016-02-29,1905010500,583.38,Facebook (CARD ONLY)
Manchester City Council,Childrens Services,Building Works,2016-02-29,5100844908,583.08,Capita IT Services (BSF) Limited
Manchester City Council,Regeneration Finance,Subsistence and Conference Expenses,2016-02-29,5100841546,582.34,Cresta World Travel t/a Uniglobe
Manchester City Council,Adult Social Care,Training and Development,2016-02-29,5100841659,581.69,Essential Papers Ltd
Manchester City Council,Chief Executives,Advertising,2016-02-29,1905010411,581.62,Facebook (CARD ONLY)
Manchester City Council,Chief Executives,Advertising,2016-02-29,1905010496,580.59,Facebook (CARD ONLY)
Manchester City Council,Chief Executives,Advertising,2016-02-29,1905010498,578.19,Facebook (CARD ONLY)
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-29,5100845339,577.88,Arawak Walton Housing Association
Manchester City Council,Chief Executives,Advertising,2016-02-29,1905010477,577.28,Facebook (CARD ONLY)
Manchester City Council,Regeneration Finance,Professional fees,2016-02-29,5100843224,572.00,P Mcguinness & Co Ltd
Manchester City Council,Chief Executives,Printing,2016-02-29,5100845555,570.00,Browns CTP Ltd
Manchester City Council,Chief Executives,Funeral and coroner related services,2016-02-29,5100845279,567.30,Redacted Personal Information
Manchester City Council,Childrens Services,Building Works,2016-02-29,5100842973,564.88,Capita IT Services (BSF) Limited
Manchester City Council,Hospitality + Trading Services,Refuse Collection,2016-02-29,5100844545,561.00,Alliance Disposables Ltd
Manchester City Council,Chief Executives,Paper & Envelopes,2016-02-29,5100844456,559.20,Premier Paper Group Ltd
Manchester City Council,Corporate Services,I T Provision,2016-02-29,5100845230,559.11,Computacenter (UK) Ltd
Manchester City Council,Childrens Services,Building Works,2016-02-29,5100842871,557.90,Capita IT Services (BSF) Limited
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-29,5100845339,557.80,Arawak Walton Housing Association
Manchester City Council,Chief Executives,Printing,2016-02-29,5100843189,550.00,Astra Signs
Manchester City Council,Hospitality + Trading Services,Goods purchased for resale in Council outlets,2016-02-29,5100843105,542.65,Barcham Trees Plc
Manchester City Council,Adult Social Care,Personal needs of client,2016-02-29,5100843767,541.46,The Furnishing Service Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,2016-02-29,5100844654,533.00,LDS Motor Bodies Ltd
Manchester City Council,Adult Social Care,Stationery,2016-02-29,5100841485,532.50,Banner Business Services Ltd
Manchester City Council,Chief Executives,Funeral and coroner related services,2016-02-29,5100845366,532.00,Johnston Brothers Funeral Service
Manchester City Council,Chief Executives,Funeral and coroner related services,2016-02-29,5100845369,532.00,Johnston Brothers Funeral Service
Manchester City Council,Chief Executives,Printing,2016-02-29,5100844850,530.00,Browns CTP Ltd
Manchester City Council,Adult Social Care,Fixtures and Fittings,2016-02-29,1905007707,529.00,Barnardos Manchester Leaving Care S
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,2016-02-29,1905010493,520.18,ROBOSAVVY LTD
Manchester City Council,Adult Social Care,Cleaning Equipment and Materials,2016-02-29,5100840952,520.16,Alliance Disposables Ltd
Manchester City Council,Adult Social Care,Furniture,2016-02-29,5100845317,517.50,Egan Reid Stationery Co Ltd
Manchester City Council,Regeneration Finance,Furniture,2016-02-29,5100845500,516.90,Back Care Solutions Ltd
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-29,5100844179,515.90,Morgan Hunt Public Sector Ltd
Manchester City Council,Corporate Services,Tele Conferencing,2016-02-29,1905003562,512.85,BT Conferencing Services
Manchester City Council,Chief Executives,Hire of Equipment,2016-02-29,5100845243,512.00,Universal Live
Manchester City Council,Hospitality + Trading Services,Cleaning Equipment and Materials,2016-02-29,5100840321,511.16,Alliance Disposables Ltd
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,2016-02-29,5100845362,509.80,Hartley & Marks Publishers Ltd
Manchester City Council,Manchester Leisure,Library Materials Acquisition,2016-02-29,1905003478,502.60,Azhar Enterrprises
Manchester City Council,GMIST (Greater Mcr Integrated),I T Provision,2016-02-29,5100844998,502.22,Commission for the New Economy
Manchester City Council,Chief Executives,Grant and subscriptions awarded,2016-02-29,5100845513,500.00,People's History Museum
Manchester City Council,Chief Executives,Grant and subscriptions awarded,2016-02-29,5100844390,500.00,Wythenshawe Forum Trust Ltd
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,2016-02-29,5100844814,500.00,The Ruskin Museum
Manchester City Council,Hospitality + Trading Services,Vehicle Parts and Spares,2016-02-29,5100845234,544.45,Warrington Truck Parts Ltd
Manchester City Council,Environment and Operations,Construction Works,2016-02-29,5100845277,600.00,Transport for Greater Manchester
Manchester City Council,Adult Social Care,Equipment,2016-02-29,5100843253,659.00,Safety Shop
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2016-02-29,5100843757,675.60,Ashtead Plant Hire
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-29,1700060725,707.16,Wirral Community NHS Trust
Manchester City Council,Chief Executives,Printing,2016-02-29,5100840695,750.00,Silk Group Ltd
Manchester City Council,Chief Executives,Catering,2016-02-29,5100845105,855.60,Manchester Central
