Strgrp(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq No,Period,Supplier id(T),Amount,Updated,GC Supplier red,VAT RegNo,Report,Type
Community Based Services,Third Party Payments,Third Party Payments,60040398,556,201202,ANCHOR TRUST,19.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,670,201202,ANCHOR TRUST,19.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,672,201202,ANCHOR TRUST,19.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,673,201202,ANCHOR TRUST,19.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,674,201202,ANCHOR TRUST,19.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,676,201202,ANCHOR TRUST,19.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,677,201202,ANCHOR TRUST,19.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,678,201202,ANCHOR TRUST,19.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,679,201202,ANCHOR TRUST,19.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,727,201202,ANCHOR TRUST,19.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,1,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-14,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,416,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-14,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,547,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-14,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,549,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-14,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,550,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-14,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,551,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-14,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,552,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-14,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,553,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-14,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,554,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-14,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,555,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-14,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,556,201202,B & N HOUSING ASSOCIATION,72.75,2012-05-14,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,557,201202,B & N HOUSING ASSOCIATION,12.47,2012-05-14,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,558,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-14,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,559,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-14,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,560,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-14,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,561,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-14,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,562,201202,B & N HOUSING ASSOCIATION,15.16,2012-05-14,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,563,201202,B & N HOUSING ASSOCIATION,15.16,2012-05-14,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,564,201202,B & N HOUSING ASSOCIATION,15.16,2012-05-14,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,565,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-14,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,567,201202,B & N HOUSING ASSOCIATION,145.50,2012-05-14,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,568,201202,B & N HOUSING ASSOCIATION,12.47,2012-05-14,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,569,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-14,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,570,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-14,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,1,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-16,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,369,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-16,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,485,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-16,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,487,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-16,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,488,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-16,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,489,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-16,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,490,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-16,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,491,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-16,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,492,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-16,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,493,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-16,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,494,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-16,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,495,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-16,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,497,201202,B & N HOUSING ASSOCIATION,15.16,2012-05-16,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,498,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-16,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,500,201202,B & N HOUSING ASSOCIATION,15.16,2012-05-16,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,501,201202,B & N HOUSING ASSOCIATION,15.16,2012-05-16,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,502,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-16,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,503,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-16,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,504,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-16,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,505,201202,B & N HOUSING ASSOCIATION,58.20,2012-05-16,3013332GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,729,201202,CHEVIOT HOUSING ASSOC LTD,5.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,731,201202,CHEVIOT HOUSING ASSOC LTD,3.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,732,201202,CHEVIOT HOUSING ASSOC LTD,5.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,733,201202,CHEVIOT HOUSING ASSOC LTD,5.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,734,201202,CHEVIOT HOUSING ASSOC LTD,5.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,735,201202,CHEVIOT HOUSING ASSOC LTD,3.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,736,201202,CHEVIOT HOUSING ASSOC LTD,5.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,737,201202,CHEVIOT HOUSING ASSOC LTD,1.73,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,738,201202,CHEVIOT HOUSING ASSOC LTD,5.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,739,201202,CHEVIOT HOUSING ASSOC LTD,5.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,740,201202,CHEVIOT HOUSING ASSOC LTD,6.75,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,741,201202,CHEVIOT HOUSING ASSOC LTD,3.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,742,201202,CHEVIOT HOUSING ASSOC LTD,6.75,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,743,201202,CHEVIOT HOUSING ASSOC LTD,6.75,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,744,201202,CHEVIOT HOUSING ASSOC LTD,6.75,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,745,201202,CHEVIOT HOUSING ASSOC LTD,3.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,746,201202,CHEVIOT HOUSING ASSOC LTD,3.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,747,201202,CHEVIOT HOUSING ASSOC LTD,3.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,748,201202,CHEVIOT HOUSING ASSOC LTD,5.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,749,201202,CHEVIOT HOUSING ASSOC LTD,3.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,750,201202,CHEVIOT HOUSING ASSOC LTD,6.75,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,751,201202,CHEVIOT HOUSING ASSOC LTD,3.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,752,201202,CHEVIOT HOUSING ASSOC LTD,6.75,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,753,201202,CHEVIOT HOUSING ASSOC LTD,1.73,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,754,201202,CHEVIOT HOUSING ASSOC LTD,5.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,755,201202,CHEVIOT HOUSING ASSOC LTD,3.80,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,756,201202,CHEVIOT HOUSING ASSOC LTD,5.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,757,201202,CHEVIOT HOUSING ASSOC LTD,3.14,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,758,201202,CHEVIOT HOUSING ASSOC LTD,5.83,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,759,201202,CHEVIOT HOUSING ASSOC LTD,5.83,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,760,201202,CHEVIOT HOUSING ASSOC LTD,3.80,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,761,201202,CHEVIOT HOUSING ASSOC LTD,5.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,762,201202,CHEVIOT HOUSING ASSOC LTD,3.80,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,763,201202,CHEVIOT HOUSING ASSOC LTD,3.80,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,766,201202,CHEVIOT HOUSING ASSOC LTD,5.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,767,201202,CHEVIOT HOUSING ASSOC LTD,5.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,768,201202,CHEVIOT HOUSING ASSOC LTD,5.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,769,201202,CHEVIOT HOUSING ASSOC LTD,5.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,770,201202,CHEVIOT HOUSING ASSOC LTD,5.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,771,201202,CHEVIOT HOUSING ASSOC LTD,5.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,772,201202,CHEVIOT HOUSING ASSOC LTD,5.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,773,201202,CHEVIOT HOUSING ASSOC LTD,5.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,774,201202,CHEVIOT HOUSING ASSOC LTD,3.24,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,775,201202,CHEVIOT HOUSING ASSOC LTD,5.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,776,201202,CHEVIOT HOUSING ASSOC LTD,5.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,777,201202,CHEVIOT HOUSING ASSOC LTD,5.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,778,201202,CHEVIOT HOUSING ASSOC LTD,5.39,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,779,201202,CHEVIOT HOUSING ASSOC LTD,6.80,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,780,201202,CHEVIOT HOUSING ASSOC LTD,6.80,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,781,201202,CHEVIOT HOUSING ASSOC LTD,82.33,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,782,201202,CHEVIOT HOUSING ASSOC LTD,6.80,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,783,201202,CHEVIOT HOUSING ASSOC LTD,104.00,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,784,201202,CHEVIOT HOUSING ASSOC LTD,125.66,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,785,201202,CHEVIOT HOUSING ASSOC LTD,86.66,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,786,201202,CHEVIOT HOUSING ASSOC LTD,6.15,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,787,201202,CHEVIOT HOUSING ASSOC LTD,104.00,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,788,201202,CHEVIOT HOUSING ASSOC LTD,6.15,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,789,201202,CHEVIOT HOUSING ASSOC LTD,6.15,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,790,201202,CHEVIOT HOUSING ASSOC LTD,6.15,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,791,201202,CHEVIOT HOUSING ASSOC LTD,6.15,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,792,201202,CHEVIOT HOUSING ASSOC LTD,69.33,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,800,201202,CHEVIOT HOUSING ASSOC LTD,6.15,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,805,201202,CHEVIOT HOUSING ASSOC LTD,6.15,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,806,201202,CHEVIOT HOUSING ASSOC LTD,6.15,2012-05-14,8400036GC,,TRDATA1RCJ,Revenue
